"File","Line","Icon","Status","Code"
".\src\components\features\dashboard\Dashboard.tsx","1661","Filter","OK - sized","<Filter size={16} />"
".\src\components\features\dashboard\Dashboard.tsx","1868","ChevronDown","OK - sized","<ChevronDown size={16} className={`transition-transform ${isExpanded ? 'rotate-180' : ''}`} />"
".\src\components\features\tasks\TaskDrawer.tsx","623","Trash","OK - sized","<Trash size={14} />"
".\src\components\features\tasks\TaskDrawer.tsx","732","Trash","OK - sized","<Trash size={12} />"
".\src\components\features\tasks\TaskFilters.tsx","128","Filter","OK - sized","<Filter size={14} className=""sm:size-16"" />"
".\src\components\features\tasks\TaskFilters.tsx","173","Filter","OK - sized","<Filter size={14} className=""sm:size-16"" />"
".\src\components\features\tasks\TaskFilters.tsx","183","ChevronDown","OK - sized","<ChevronDown size={12} className={`transition-transform sm:size-14 ${isAssigneeDropdownOpen ? 'rotate-180' : ''}`} />"
".\src\components\features\tasks\TaskFilters.tsx","264","Filter","OK - sized","<Filter size={14} className=""sm:size-16"" />"
".\src\components\features\tasks\TaskFilters.tsx","273","ChevronDown","OK - sized","<ChevronDown size={12} className={`transition-transform sm:size-14 ${isTeamDropdownOpen ? 'rotate-180' : ''}`} />"
".\src\components\features\tasks\TaskList.tsx","118","Trash2","OK - sized","<Trash2 size={14} className=""sm:size-16"" />"
".\src\components\shared\MultiselectDropdown.tsx","87","Filter","OK - sized","<Filter size={16} />"
".\src\components\shared\MultiselectDropdown.tsx","94","ChevronDown","OK - sized","<ChevronDown size={14} className={`transition-transform ${isOpen ? 'rotate-180' : ''}`} />"
".\src\components\tasks\TasksList.tsx","341","Trash2","OK - sized","icon: <Trash2 size={16} />,"
".\src\components\AdminPanel.tsx","759","ChevronDown","MISSING SIZE","<ChevronDown"
